child,parent
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,us-gaap:CashAndCashEquivalents
us-gaap:CashEquivalentsAtCarryingValue,us-gaap:CashAndCashEquivalents
us-gaap:CashFlowHedgeDerivativeInstrumentAssetsAtFairValue,us-gaap:Assets
us-gaap:CashFlowHedgeDerivativeInstrumentAssetsAtFairValue,us-gaap:CashAndCashEquivalents
us-gaap:CashFlowHedgeGainLossReclassifiedToEarningsNet,us-gaap:CashAndCashEquivalents
us-gaap:CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,us-gaap:CashAndCashEquivalents
us-gaap:CashPaidForCapitalizedInterest,us-gaap:CashAndCashEquivalents
us-gaap:CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,us-gaap:CashAndCashEquivalents
us-gaap:CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,us-gaap:CashAndCashEquivalents
us-gaap:CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,us-gaap:CashAndCashEquivalents
us-gaap:CashSurrenderValueOfLifeInsurance,us-gaap:CashAndCashEquivalents
us-gaap:CommonStockDividendsPerShareCashPaid,us-gaap:CashAndCashEquivalents
us-gaap:CommonStockIncludingAdditionalPaidInCapital,us-gaap:AdditionalPaidInCapital
us-gaap:CommonStockNoParValue,us-gaap:CommonStock
us-gaap:CommonStockSharesIssued,us-gaap:CommonStock
us-gaap:CommonStockSharesOutstanding,us-gaap:CommonStock
us-gaap:CommonStockValueOutstanding,us-gaap:CommonStock
us-gaap:CommonStocksIncludingAdditionalPaidInCapital,us-gaap:AdditionalPaidInCapital
us-gaap:ContractWithCustomerAssetNet,us-gaap:Assets
us-gaap:ContractWithCustomerAssetNetCurrent,us-gaap:Assets
us-gaap:ContractWithCustomerLiability,us-gaap:Liabilities
us-gaap:ContractWithCustomerLiabilityCurrent,us-gaap:DeferredRevenueAndCustomerAdvances
us-gaap:ContractWithCustomerLiabilityCurrent,us-gaap:Liabilities
us-gaap:ContractWithCustomerLiabilityIncreaseDecreaseForContractAcquiredInBusinessCombination,us-gaap:Liabilities
us-gaap:ContractWithCustomerLiabilityNoncurrent,us-gaap:DeferredRevenueAndCustomerAdvances
us-gaap:ContractWithCustomerLiabilityNoncurrent,us-gaap:Liabilities
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,us-gaap:Liabilities
us-gaap:ContractWithCustomerRefundLiability,us-gaap:Liabilities
us-gaap:ContractWithCustomerRefundLiabilityCurrent,us-gaap:Liabilities
us-gaap:ConvertibleDebtCurrent,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:ConvertibleDebtNoncurrent,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:CostOfGoodsAndServicesSold,us-gaap:CostOfGoodsSold
us-gaap:CostOfGoodsSoldAmortization,us-gaap:CostOfGoodsSold
us-gaap:CreditRiskDerivativeLiabilitiesAtFairValue,us-gaap:Liabilities
us-gaap:CumulativeEffectOnRetainedEarningsNetOfTax1,us-gaap:RetainedEarnings
us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:CustomerDepositsCurrent,us-gaap:DeferredRevenueAndCustomerAdvances
us-gaap:DebtAndCapitalLeaseObligations,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:DebtInstrumentConvertibleInterestExpense,us-gaap:InterestExpense
us-gaap:DeferredCompensationLiabilityClassifiedNoncurrent,us-gaap:Liabilities
us-gaap:DeferredCompensationLiabilityCurrentAndNoncurrent,us-gaap:Liabilities
us-gaap:DeferredCompensationPlanAssets,us-gaap:Assets
us-gaap:DeferredCreditsAndOtherLiabilities,us-gaap:Liabilities
us-gaap:DeferredCreditsAndOtherLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredFederalStateAndLocalTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxAssetsNet,us-gaap:Assets
us-gaap:DeferredIncomeTaxAssetsNet,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxLiabilities,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxLiabilities,us-gaap:Liabilities
us-gaap:DeferredIncomeTaxLiabilitiesNet,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxLiabilitiesNet,us-gaap:Liabilities
us-gaap:DeferredIncomeTaxesAndOtherAssetsCurrent,us-gaap:Assets
us-gaap:DeferredIncomeTaxesAndOtherAssetsCurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxesAndOtherAssetsCurrent,us-gaap:OtherNoncurrentAssets
us-gaap:DeferredIncomeTaxesAndOtherAssetsNoncurrent,us-gaap:Assets
us-gaap:DeferredIncomeTaxesAndOtherAssetsNoncurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxesAndOtherAssetsNoncurrent,us-gaap:OtherNoncurrentAssets
us-gaap:DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxesAndOtherLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:DeferredIncomeTaxesAndTaxCredits,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredOtherTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredRevenueAndCreditsNoncurrent,us-gaap:DeferredRevenueAndCustomerAdvances
us-gaap:DeferredRevenueCurrent,us-gaap:DeferredRevenueAndCustomerAdvances
us-gaap:DeferredRevenueNoncurrent,us-gaap:DeferredRevenueAndCustomerAdvances
us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredTaxAndOtherLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:DeferredTaxAssetsCapitalLossCarryforwards,us-gaap:Assets
us-gaap:DeferredTaxAssetsCapitalLossCarryforwards,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsDeferredIncome,us-gaap:Assets
us-gaap:DeferredTaxAssetsDeferredIncome,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsDerivativeInstruments,us-gaap:Assets
us-gaap:DeferredTaxAssetsDerivativeInstruments,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsEquityMethodInvestments,us-gaap:Assets
us-gaap:DeferredTaxAssetsEquityMethodInvestments,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsEquityMethodInvestments,us-gaap:LongTermInvestments
us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:Assets
us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:IntangibleAssetsNet
us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:DeferredTaxAssetsGross,us-gaap:Assets
us-gaap:DeferredTaxAssetsGross,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsHedgingTransactions,us-gaap:Assets
us-gaap:DeferredTaxAssetsHedgingTransactions,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsInProcessResearchAndDevelopment,us-gaap:Assets
us-gaap:DeferredTaxAssetsInProcessResearchAndDevelopment,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsInProcessResearchAndDevelopment,us-gaap:ResearchAndDevelopmentExpense
us-gaap:DeferredTaxAssetsInventory,us-gaap:Assets
us-gaap:DeferredTaxAssetsInventory,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsInventory,us-gaap:InventoryNet
us-gaap:DeferredTaxAssetsInvestments,us-gaap:Assets
us-gaap:DeferredTaxAssetsInvestments,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsLiabilitiesNet,us-gaap:Assets
us-gaap:DeferredTaxAssetsLiabilitiesNet,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsLiabilitiesNet,us-gaap:Liabilities
us-gaap:DeferredTaxAssetsLiabilitiesNetCurrent,us-gaap:Assets
us-gaap:DeferredTaxAssetsLiabilitiesNetCurrent,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsLiabilitiesNetCurrent,us-gaap:Liabilities
us-gaap:DeferredTaxAssetsLiabilitiesNetNoncurrent,us-gaap:Assets
us-gaap:DeferredTaxAssetsLiabilitiesNetNoncurrent,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsLiabilitiesNetNoncurrent,us-gaap:Liabilities
us-gaap:DeferredTaxAssetsNet,us-gaap:Assets
us-gaap:DeferredTaxAssetsNetCurrent,us-gaap:Assets
us-gaap:DeferredTaxAssetsNetCurrent,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsNetNoncurrent,us-gaap:Assets
us-gaap:DeferredTaxAssetsNetNoncurrent,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOperatingLossCarryforwards,us-gaap:Assets
us-gaap:DeferredTaxAssetsOperatingLossCarryforwards,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsDomestic,us-gaap:Assets
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsDomestic,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsForeign,us-gaap:Assets
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsForeign,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration,us-gaap:Assets
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,us-gaap:Assets
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,us-gaap:Assets
us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOther,us-gaap:Assets
us-gaap:DeferredTaxAssetsOther,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOtherComprehensiveLoss,us-gaap:Assets
us-gaap:DeferredTaxAssetsOtherComprehensiveLoss,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsOtherTaxCarryforwards,us-gaap:Assets
us-gaap:DeferredTaxAssetsOtherTaxCarryforwards,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsPropertyPlantAndEquipment,us-gaap:Assets
us-gaap:DeferredTaxAssetsPropertyPlantAndEquipment,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsPropertyPlantAndEquipment,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:DeferredTaxAssetsStateTaxes,us-gaap:Assets
us-gaap:DeferredTaxAssetsStateTaxes,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxCreditCarryforwards,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxCreditCarryforwards,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsForeign,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsForeign,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsOther,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsOther,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsResearch,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxCreditCarryforwardsResearch,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpense,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpense,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,us-gaap:EmployeeBenefitPlans
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseOther,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseOther,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,us-gaap:Liabilities
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,us-gaap:OtherNoncurrentLiabilities
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance,us-gaap:Assets
us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsUnrealizedCurrencyLosses,us-gaap:Assets
us-gaap:DeferredTaxAssetsUnrealizedCurrencyLosses,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,us-gaap:Assets
us-gaap:DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxAssetsValuationAllowance,us-gaap:Assets
us-gaap:DeferredTaxAssetsValuationAllowance,us-gaap:DeferredTaxAssetsNet
us-gaap:DeferredTaxExpenseFromStockOptionsExercised,us-gaap:IncomeTaxExpenseBenefit
us-gaap:DeferredTaxLiabilities,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesCurrent,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesDeferredExpense,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,us-gaap:InventoryNet
us-gaap:DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesDeferredExpenseCapitalizedSoftware,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesDerivatives,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,us-gaap:Assets
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,us-gaap:IntangibleAssetsNet
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,us-gaap:Assets
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,us-gaap:IntangibleAssetsNet
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:DeferredTaxLiabilitiesGrossNoncurrent,us-gaap:DeferredTaxLiabilitiesNet
us-gaap:DeferredTaxLiabilitiesGrossNoncurrent,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesInvestments,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesLeasingArrangements,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesMortgageServicingRights,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesNoncurrent,us-gaap:DeferredTaxLiabilitiesNet
us-gaap:DeferredTaxLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesOther,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesOtherComprehensiveIncome,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesPrepaidExpenses,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesPrepaidExpenses,us-gaap:PrepaidExpensesAndOtherCurrentAssets
us-gaap:DeferredTaxLiabilitiesPropertyPlantAndEquipment,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesPropertyPlantAndEquipment,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:DeferredTaxLiabilitiesTaxDeferredIncome,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesUndistributedForeignEarnings,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,us-gaap:ShortTermInvestments
us-gaap:DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiability,us-gaap:DeferredTaxLiabilitiesNet
us-gaap:DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiability,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,us-gaap:DeferredTaxLiabilitiesNet
us-gaap:DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,us-gaap:Liabilities
us-gaap:DeferredTaxLiabilityNotRecognizedCumulativeAmountOfTemporaryDifference,us-gaap:DeferredTaxLiabilitiesNet
us-gaap:DeferredTaxLiabilityNotRecognizedCumulativeAmountOfTemporaryDifference,us-gaap:Liabilities
us-gaap:DefinedBenefitPensionPlanLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:DefinedBenefitPlanAccumulatedBenefitObligation,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAmortizationOfGainsLosses,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAmortizationOfNetGainsLosses,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAmortizationOfNetTransitionAssetObligation,us-gaap:Assets
us-gaap:DefinedBenefitPlanAmortizationOfNetTransitionAssetObligation,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAmountsRecognizedInOtherComprehensiveIncomeLossNetGainLossBeforeTax,us-gaap:NetIncomeLoss
us-gaap:DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,us-gaap:Assets
us-gaap:DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,us-gaap:Assets
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanBenefitObligation,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanContributionsByEmployer,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanCurtailments,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents1,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnServiceAndInterestCostComponents,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEquitySecurities,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanEstimatedFutureEmployerContributionsInNextFiscalYear,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsInFiveFiscalYearsThereafter,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFive,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFour,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearOne,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearThree,us-gaap:EmployeeBenefitPlans
us-gaap:DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearTwo,us-gaap:EmployeeBenefitPlans
